#v100,,如果是全服唯一地图 主城配1 0 0 1    野外配2 0 0 1         如果是副本配3 2 [承载人数] [房间数]          如果是分线地图 主城配1 1 [单线人数] 1     野外配2 1 [单线人数] 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#代表本行注释,,,,,#type,副本类型,副本承载上限,副本复用数量,,,#minLv,#minLvR,#trigerenterleave,#taskshare,#runmon,#runplayer,#pkprohibit,#pkallow,#autoenter,#nodiedropitem,#noprotectnewer,#nodirectfly,#nodropitem,#nointeract,#nomount,#lockaction,#wanderhangup,#nogod,#autoalive,#norelivestand,#anonym,#nocall,,di,ds
#地图编号,地图文件,地图名字,小地图编号,脚本触发,1主城2野外3副本,0独立1公共2个人,,名字后面加1-200,回城点,复活点,进入最低等级,进入最低转生,进入离开绑定脚本,任务共享,允许穿怪,允许穿人,禁止PK,允许PK(不加PK值),保留位置,死亡不掉东西,不保护新手,禁止传送,禁止扔东西,屏蔽玩家名字，禁止聊天，禁止查看角色信息,禁止坐骑,禁止攻击和使用技能,游荡挂机,禁止战神进入,自动复活,禁止原地复活,匿名,禁止召唤好友,禁止传送到闯天关&个人boss副本地图,禁止使用某个物品,禁止使用某个技能
#基础地图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bosshome12f,v202,金币天堂,202,null,2,0,0,1,4010003,4010003,100,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,
bosshome14f,v282,PK练功房,282,null,2,0,0,1,4010003,4010003,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,

xintu,v405,通天阁,405,null,2,1,20,1,4010003,4010003,120,5,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
xintu1,v391,封神台,391,null,2,1,20,1,4010003,4010003,120,10,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
xintu20,v383,斩仙塔,383,null,2,1,20,1,4010003,4010003,120,5,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
xintu30,v332,弑魔路,332,null,2,1,20,1,4010003,4010003,120,5,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,

xintu40,105,幽冥顶,419,null,2,1,20,1,4010003,4010003,120,5,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,

xintu50,104,灵鹫台,414,null,2,1,20,1,4010003,4010003,120,5,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,

xintu60,101,岳麓殿,416,null,2,1,20,1,4010003,4010003,120,5,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,

xintu70,v413,王者荣耀,519,null,2,1,20,1,4010003,4010003,120,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,

suoxian1f,v262,锁仙塔一层,262,null,2,0,0,1,4010001,4010001,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,
suoxian2f,v262,锁仙塔二层,262,null,2,0,0,1,4010001,4010001,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,
suoxian3f,v262,锁仙塔三层,262,null,2,0,0,1,4010001,4010001,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,
suoxian4f,v262,锁仙塔四层,262,null,2,0,0,1,4010001,4010001,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,
suoxian5f,v262,锁仙塔五层,262,null,2,0,0,1,4010001,4010001,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,
suoxian6f,v262,锁仙塔六层,262,null,2,0,0,1,4010001,4010001,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,
suoxian7f,v262,锁仙塔七层,262,null,2,0,0,1,4010001,4010001,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,

fengmo1f,v292,封魔域一层,292,null,2,0,0,1,4010001,4010001,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,
fengmo2f,v292,封魔域二层,292,null,2,0,0,1,4010001,4010001,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,
fengmo3f,v292,封魔域三层,292,null,2,0,0,1,4010001,4010001,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,
fengmo4f,v292,封魔域四层,292,null,2,0,0,1,4010001,4010001,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,
fengmo5f,v292,封魔域五层,292,null,2,0,0,1,4010001,4010001,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,
fengmo6f,v292,封魔域六层,292,null,2,0,0,1,4010001,4010001,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,
fengmo7f,v292,封魔域七层,292,null,2,0,0,1,4010001,4010001,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,

xiulian1f,v242,修炼地,242,null,2,0,0,1,9100001,9100001,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,
xiulian2f,v242,修炼圣地,242,null,2,0,0,1,9100001,9100001,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,

shengyuan1f,100,熔岩深渊一层,417,null,2,0,0,1,4010003,4010003,150,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,
shengyuan2f,102,熔岩深渊二层,415,null,2,0,0,1,4010003,4010003,150,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,
shengyuan3f,100,熔岩深渊三层,417,null,2,0,0,1,4010003,4010003,150,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,
shengyuan4f,102,熔岩深渊四层,415,null,2,0,0,1,4010003,4010003,150,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,
shengyuan5f,100,熔岩深渊五层,417,null,2,0,0,1,4010003,4010003,150,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,
shengyuan6f,102,熔岩深渊六层,415,null,2,0,0,1,4010003,4010003,150,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,32010003,

huanlingzhijing,v215,幻灵之境,215,null,2,1,20,1,4010003,4010003,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
shenyutiangong,v218,神域天宫,218,null,2,1,20,1,4010003,4010003,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
tongmozhidi,v216,通魔之地,216,null,2,1,20,1,4010003,4010003,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
xianyushengdi,v108,仙域圣地,108,null,2,1,20,1,4010003,4010003,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
